filename,center_x_mm,center_y_mm,semi_axes_a_mm,semi_axes_b_mm,angle_rad
000_HC.png,94.24279252135328,64.70871072177175,56.53521496647969,41.79626703602415,1.5822481857983464
001_HC.png,30.519289462855106,21.60211374020526,13.587706176878676,10.90340942704356,1.4960464550024435
002_HC.png,60.526086932819496,42.33327380129343,38.874460133829416,30.61720436766367,1.49303814823509
003_HC.png,34.5924755535315,27.093152796182054,31.808516268928418,23.149510173840795,1.6165772643558491
004_HC.png,81.70191970928897,58.2440750666036,60.576620826021475,43.83910967771191,1.5322000652227596
005_HC.png,49.30648972109258,28.457784630970632,30.93166998183959,23.92494728296095,1.6132600309020466
006_HC.png,55.4806895606759,35.63995383611566,37.95459323506938,29.14082506206312,1.5558926115445406
007_HC.png,58.16210654144923,38.93260193564853,36.78957983816251,28.770408932709415,1.4698191119551252
008_HC.png,49.779839044516656,39.90513116672672,17.987105222785285,14.341735396485436,1.366893794777961
009_HC.png,135.3310217522464,101.22310052104801,62.72789218603004,50.04395964767847,1.9392310814857996
010_HC.png,44.81729898544127,30.964422009831754,32.213475075784025,24.185630972219734,1.5866425347550315
011_HC.png,52.21793712418466,38.057094084157,34.73083952397963,26.01067543317964,1.595487558525457
012_HC.png,101.76061516414569,89.9447359305651,42.6431292457682,34.10169044020738,1.013082590790737
013_HC.png,42.71970020524317,35.206435953479605,31.27373840711889,23.62815405332667,1.4947954350803787
014_HC.png,53.40138424512346,45.53767198268262,16.20227463669294,13.954642137236297,2.617948570963449
015_HC.png,80.87664305356424,63.17694495257211,44.798802845640544,35.609212045386975,1.5360507298429054
016_HC.png,50.50097847071274,22.46962982596482,13.399812099570157,11.221140183439369,2.1020512910530096
017_HC.png,48.74543029469592,38.00191785609412,32.146703420129946,27.025744681562472,1.907443857030723
018_HC.png,60.91685196886143,36.67366588047744,49.73478584235533,36.68615478423377,1.5821761472908598
019_HC.png,43.037637977568686,21.394900892728952,23.24204903791007,17.81637109765721,1.5446210485468892
020_HC.png,17.336010655965477,14.665332301433372,14.5000840725526,11.214889407809556,1.52088509269934
021_HC.png,23.78847687879142,17.187238331808956,14.28235796232215,12.006280415841536,1.5733743998881478
022_HC.png,47.24384135522219,32.9142062929896,34.066559793315754,27.64029253112007,1.470055866976033
023_HC.png,45.07896484727104,29.202008126115917,32.18849110721239,25.73426434602423,1.6030542649726447
024_HC.png,50.352306103896986,38.84229470985728,30.01985758902199,23.751837234487247,1.53842520427082
025_HC.png,47.76251243537088,36.450398998516526,32.84259893708546,25.993250640567357,1.7142601489271927
026_HC.png,49.74451786845925,22.66413797422526,16.238527426545243,13.031495995220592,1.3184879124885716
027_HC.png,84.49408433429817,46.459696017876205,30.92665428762311,28.17775901416909,0.6099911887282512
028_HC.png,57.52027080003679,31.437425702792265,31.186740841356865,26.237608789273864,1.6331487842388674
029_HC.png,47.0835703907522,32.57095366057556,32.53928038087119,25.114700958031797,1.5021251201905492
030_HC.png,39.43864500183453,34.10954892869677,20.358854934119964,14.905265953670149,1.4839795389452402
031_HC.png,39.39600458140475,26.438110777566465,30.442470462453098,23.73593983170434,1.5712870142257436
032_HC.png,41.65843783533255,27.55678293681227,33.85365746926823,24.68437859982566,1.5168297641494217
033_HC.png,58.69950553406645,43.739555556202575,20.873938486295227,17.494594560682156,2.190006780005757
034_HC.png,71.87478224801805,35.03422510379485,12.783533540440299,10.033827383125457,1.769902638846654
035_HC.png,51.022378960732354,31.57964368804183,33.17122325843394,26.331444018796017,1.5869404093229569
